predicted_price_lr,difference_lr,percent_change_lr
1325832.657369228,1849167.342630772,58.24
346159.81781422044,-186159.81781422044,-116.35
354800.46129819355,-39800.46129819355,-12.64
379994.70972815226,-94994.70972815226,-33.33
1052268.9015194438,242731.09848055616,18.74
317295.4717658467,-62305.47176584671,-24.43
649023.9241461635,-29023.92414616351,-4.68
404884.64645599364,193115.35354400636,32.29
572168.9438225857,-77168.94382258574,-15.59
1127869.3576732704,-27869.357673270395,-2.53
315837.2242213038,-100837.22422130383,-46.9
292168.35173059604,87631.64826940396,23.07
393630.7097567131,5369.290243286872,1.35
718238.558112378,-178238.558112378,-33.01
648413.1307353002,-173413.13073530025,-36.51
814008.3587099973,-125008.35870999726,-18.14
247128.15241541644,-39628.152415416436,-19.1
445980.535148856,-46980.535148856,-11.77
622136.8051834225,-232236.80518342252,-59.56
1158403.6606252915,-183403.66062529152,-18.81
365548.76979336864,-40548.76979336864,-12.48
486387.69894201704,-206387.69894201704,-73.71
457748.5105629021,22251.489437097916,4.64
1319182.6655634125,-569282.6655634125,-75.91
663390.3595585937,-258390.35955859371,-63.8
848326.8646573115,-98326.86465731147,-13.11
449808.1473301521,-40808.147330152104,-9.98
501707.49891616334,-44707.49891616334,-9.78
498058.3819121148,-233058.3819121148,-87.95
289969.8596877798,-84969.8596877798,-41.45
1058845.5960472499,-436345.59604724986,-70.1
712291.6760855631,-287291.67608556314,-67.6
319889.5978294478,-144889.59782944783,-82.79
408507.23013038025,-233507.23013038025,-133.43
965711.9445757638,129288.05542423623,11.81
588325.2162179572,-288325.2162179572,-96.11
433400.7001219003,-83400.7001219003,-23.83
662577.7795081788,-272677.7795081788,-69.94
1646575.4231263103,-396575.42312631034,-31.73
731282.7920083741,-156282.79200837412,-27.18
538655.9723352783,-28655.97233527829,-5.62
355658.9986039989,-100658.99860399892,-39.47
391324.8780921695,-101824.87809216953,-35.17
366693.6269717908,53306.3730282092,12.69
610745.2433192085,39254.7566807915,6.04
569947.8735998168,-219947.8735998168,-62.84
1161987.2226993698,-687487.2226993698,-144.89
4047175.69655082,902824.30344918,18.24
1137306.5700260582,187693.42997394176,14.17
285100.4667971332,-80100.46679713321,-39.07
336160.4030482571,-121160.40304825711,-56.35
811114.3442513093,-188114.3442513093,-30.19
358194.5384458599,61805.461554140085,14.72
1056242.3819654724,343757.61803452764,24.55
556759.5818547036,-314559.5818547036,-129.88
522137.68691227376,-127137.68691227376,-32.19
425245.9729582651,-100245.9729582651,-30.84
522867.71031766734,-37867.71031766734,-7.81
473428.6806382567,-163528.68063825672,-52.77
776077.2269800038,-296177.22698000376,-61.72
734879.8993261403,-24879.899326140294,-3.5
624152.1662278979,475847.83377210214,43.26
787653.4347563919,-13653.434756391915,-1.76
806582.4837024629,92417.51629753713,10.28
1029654.0854916942,95345.91450830584,8.48
352116.2224697296,-82126.2224697296,-30.42
962102.8920031566,-577202.8920031566,-149.96
330769.1281406034,-65769.12814060342,-24.82
724530.7127055877,-104630.71270558774,-16.88
794056.2396474693,-384056.23964746925,-93.67
431462.5243483193,-111462.52434831928,-34.83
831778.3241676171,763221.6758323829,47.85
931448.1413976001,-336448.14139760006,-56.55
184210.84067668044,24789.15932331956,11.86
707791.4206591232,-262791.4206591232,-59.05
1248992.7221703874,-33992.722170387395,-2.8
564734.913749845,45260.086250155,7.42
383824.6748795684,-143824.6748795684,-59.93
517170.7707516912,-42170.77075169119,-8.88
2451833.273830538,1298166.7261694619,34.62
804375.4427305895,-229475.44273058954,-39.92
1755564.854012266,733435.145987734,29.47
223229.77843584516,-10729.77843584516,-5.05
329170.15945775784,-89170.15945775784,-37.15
312041.6900193149,-137041.69001931488,-78.31
788365.4354704705,986634.5645295295,55.59
579326.2558746354,-199376.25587463542,-52.47
850961.9297604093,-301061.9297604093,-54.75
750649.0279110426,24350.97208895744,3.14
390438.5322953176,8561.467704682378,2.15
376783.0625883315,2216.9374116684776,0.58
457888.0993500289,-236888.0993500289,-107.19
713093.2742895025,-63093.27428950253,-9.71
1321239.3458443384,-639339.3458443384,-93.76
555536.6212424806,-165536.62124248059,-42.45
425226.8233189485,-113976.8233189485,-36.62
643526.2669104172,-168526.26691041724,-35.48
360527.163776641,-140627.163776641,-63.95
1292551.605978808,647448.3940211921,33.37
231086.0201374411,-56086.02013744111,-32.05
1024123.9579846566,-65123.95798465656,-6.79
540403.8756513644,-51403.87565136445,-10.51
870379.8275067713,-105379.82750677131,-13.78
510918.18757842784,-185918.18757842784,-57.21
532435.8454885541,-112535.8454885541,-26.8
386492.776137999,-96592.77613799903,-33.32
342242.76417657663,-289742.76417657663,-551.89
1899446.6572235604,100453.34277643962,5.02
357767.19876344525,-99767.19876344525,-38.67
608085.6122392195,-195185.61223921948,-47.27
825806.2491642248,-275806.24916422484,-50.15
1258504.031391751,91495.96860824898,6.78
992108.3190428165,-267108.3190428165,-36.84
696762.9836466729,71237.01635332708,9.28
1224641.551398571,-359641.5513985711,-41.58
358205.2637030978,-94215.26370309782,-35.69
600037.6952921178,-50037.69529211777,-9.1
281293.99141407316,58606.008585926844,17.24
714002.4162336432,-274102.4162336432,-62.31
904222.1860292926,244777.81397070736,21.3
1059289.2732939383,35710.726706061745,3.26
617256.3515227025,-227256.3515227025,-58.27
364169.89196548774,-65169.89196548774,-21.8
513005.6107648562,-43005.61076485622,-9.15
707785.6967565014,-295579.69675650145,-71.71
492960.81002615555,-68060.81002615555,-16.02
1212330.7566117016,2282669.2433882984,65.31
1592227.3155046226,1907772.6844953774,54.51
409255.4839215935,-109265.48392159352,-36.42
486770.3082450975,-101870.30824509752,-26.47
395171.1650565581,-155271.1650565581,-64.72
274067.8163251823,-84167.81632518233,-44.32
1633197.941012439,-233198.94101243909,-16.66
296018.2892732194,78981.71072678058,21.06
776776.0285762583,-126876.02857625834,-19.52
1486399.9449282156,1763600.0550717844,54.26
681698.096048062,167301.90395193803,19.71
994522.667153682,-434622.667153682,-77.63
587913.0480202341,-159013.0480202341,-37.07
337697.6382577296,-142724.6382577296,-73.2
741224.0764192648,173775.92358073522,18.99
488421.74884192203,-113421.74884192203,-30.25
1425149.6131756827,-435149.6131756827,-43.95
471048.5282642504,-106048.52826425037,-29.05
799450.7108134062,-209450.71081340616,-35.5
984620.6216185202,-285620.62161852024,-40.86
391324.8780921695,-91324.87809216953,-30.44
627391.863130592,-227891.86313059204,-57.04
252400.45218989276,36599.54781010724,12.66
327361.7627612676,-69461.7627612676,-26.93
397022.6443857525,-192022.6443857525,-93.67
804856.9162097808,-338956.91620978084,-72.75
405621.8322194831,-190721.8322194831,-88.75
1147765.269601522,96234.73039847799,7.74
898434.66708575,-748534.66708575,-499.36
909464.8672435347,-259964.86724353465,-40.03
153422.3235084263,96577.67649157369,38.63
343135.9993541369,-148135.99935413687,-75.97
567039.9339628003,-17039.933962800307,-3.1
896181.0749512708,393818.9250487292,30.53
718063.3603548685,-293063.36035486846,-68.96
1153039.1571296835,-343039.15712968353,-42.35
442359.4237143418,-92459.42371434183,-26.42
