predicted_price_lr,difference_lr,percent_change_lr
521341.1657659942,-36341.16576599423,-7.49
473144.2699862099,-163244.26998620993,-52.68
773881.9343842203,-293981.9343842203,-61.26
739214.2836226327,-29214.283622632734,-4.11
621953.6305237482,478046.36947625177,43.46
790755.7157875146,-16755.71578751458,-2.16
810646.0001688781,88353.99983112188,9.83
1033586.1299685275,91413.87003147253,8.13
348502.91797920223,-78512.91797920223,-29.08
956365.4964394474,-571465.4964394474,-148.47
330442.0946749598,-65442.09467495978,-24.7
726182.9271679297,-106282.92716792971,-17.15
793884.7143667564,-383884.7143667564,-93.63
431853.91535381414,-111853.91535381414,-34.95
835262.2423043285,759737.7576956715,47.63
928509.4925335887,-333509.49253358867,-56.05
182226.6231371956,26773.376862804405,12.81
706841.904606306,-261841.904606306,-58.84
1247629.2610330894,-32629.261033089366,-2.69
564651.0263253234,45343.973674676614,7.43
382520.060668482,-142520.06066848198,-59.38
520175.2436138694,-45175.24361386942,-9.51
2471767.6571849585,1278232.3428150415,34.09
803439.5672904132,-228539.5672904132,-39.75
1754959.865033017,734040.134966983,29.49
223225.76277139457,-10725.76277139457,-5.05
329346.7092727488,-89346.70927274879,-37.23
311603.2213343289,-136603.22133432887,-78.06
789377.8899035458,985622.1100964542,55.53
580487.275693377,-200537.275693377,-52.78
852544.2895269786,-302644.2895269786,-55.04
753732.901856096,21267.098143904004,2.74
393037.071805323,5962.928194676992,1.49
376034.71520255296,2965.284797447035,0.78
455343.8771713213,-234343.8771713213,-106.04
714987.6684643228,-64987.66846432281,-10.0
1321507.9517195323,-639607.9517195323,-93.8
554307.1973562755,-164307.19735627552,-42.13
423094.165307977,-111844.165307977,-35.93
648172.5760901761,-173172.57609017612,-36.46
357764.6191328424,-137864.6191328424,-62.69
1299077.836895702,640922.1631042981,33.04
232065.5123569863,-57065.51235698629,-32.61
1027881.3730594927,-68881.37305949267,-7.18
534834.260652534,-45834.260652533965,-9.37
870741.0145498621,-105741.01454986213,-13.82
509588.7197720029,-184588.7197720029,-56.8
532838.2171847872,-112938.21718478715,-26.9
385640.72854063567,-95740.72854063567,-33.03
341501.08292897884,-289001.08292897884,-550.48
1906781.1289731357,93118.87102686428,4.66
357377.6793603068,-99377.67936030682,-38.52
608103.9286929395,-195203.92869293946,-47.28
825873.3216080302,-275873.32160803024,-50.16
1264582.1772694802,85417.82273051981,6.33
993381.1275765395,-268381.1275765395,-37.02
698556.5985098486,69443.40149015142,9.04
1220063.4070761788,-355063.4070761788,-41.05
358359.1482650032,-94369.14826500323,-35.75
600408.194476394,-50408.19447639398,-9.17
278963.7934663864,60936.206533613615,17.93
712271.6295576226,-272371.6295576226,-61.92
901000.2606841967,247999.73931580328,21.58
1064202.2042150898,30797.79578491021,2.81
617131.1987555928,-227131.1987555928,-58.24
359572.21323766606,-60572.21323766606,-20.26
513095.0585200966,-43095.05852009659,-9.17
708848.6831538109,-296642.6831538109,-71.96
493084.440718557,-68184.44071855699,-16.05
1218802.758247004,2276197.241752996,65.13
1592372.5227900506,1907627.4772099494,54.5
409465.64761092607,-109475.64761092607,-36.49
486704.8112234627,-101804.81122346269,-26.45
396139.96125770966,-156239.96125770966,-65.13
272929.4558208473,-83029.4558208473,-43.72
1637846.0107453957,-237847.01074539567,-16.99
293174.49851962295,81825.50148037705,21.82
778336.1319684044,-128436.1319684044,-19.76
1491829.43905249,1758170.56094751,54.1
684474.8966775439,164525.10332245613,19.38
990020.1349928528,-430120.1349928528,-76.82
588714.6929248199,-159814.6929248199,-37.26
337629.1712782923,-142656.1712782923,-73.17
739773.2191817616,175226.7808182384,19.15
489784.30840082234,-114784.30840082234,-30.61
1423997.1984524706,-433997.1984524706,-43.84
472893.32238119,-107893.32238119002,-29.56
799779.3259683824,-209779.3259683824,-35.56
983394.1388888297,-284394.13888882974,-40.69
389619.95644542715,-89619.95644542715,-29.87
626598.6458682802,-227098.6458682802,-56.85
248792.49257971602,40207.507420283975,13.91
326378.12882547267,-68478.12882547267,-26.55
394568.09129006276,-189568.09129006276,-92.47
802925.974100373,-337025.974100373,-72.34
406323.3282762361,-191423.32827623608,-89.08
1149760.4867343178,94239.51326568215,7.58
906372.5889890714,-756472.5889890714,-504.65
912390.1942496725,-262890.19424967247,-40.48
150925.69047084637,99074.30952915363,39.63
339361.38866100553,-144361.38866100553,-74.03
569423.8119577782,-19423.811957778176,-3.53
898592.4836104282,391407.5163895718,30.34
720547.7107802252,-295547.7107802252,-69.54
1149823.6593093155,-339823.6593093155,-41.95
439710.75433735875,-89810.75433735875,-25.67
917136.4809088269,-197236.48090882692,-27.4
314903.4815790043,-105408.48157900432,-50.32
396672.930842557,-146682.930842557,-58.68
372103.30474385084,-157203.30474385084,-73.15
923017.7351965428,121982.26480345719,11.67
1286331.3534696244,162668.64653037558,11.23
677566.0603746469,-202566.0603746469,-42.65
629962.2927437094,-17962.292743709404,-2.94
1344708.4659364372,2605291.5340635628,65.96
276613.0470612389,63386.9529387611,18.64
446194.8232401591,-118194.82324015908,-36.04
746979.3540647617,-221979.35406476166,-42.28
577813.5433690937,-92813.54336909368,-19.14
382135.20947949775,69864.79052050225,15.46
1713673.95849312,-288673.95849312004,-20.26
521425.23179373937,-91525.23179373937,-21.29
196463.41191839147,2536.5880816085264,1.27
786093.0373954007,-247093.0373954007,-45.84
491326.421985778,-242239.42198577803,-97.25
351925.0237246994,-126925.0237246994,-56.41
439438.0680600968,-282953.0680600968,-180.82
783618.6148349978,-171618.6148349978,-28.04
1001250.0973123979,348749.9026876021,25.83
702283.2674020967,27716.73259790335,3.8
858207.5569847176,-338307.5569847176,-65.07
499644.1236913367,-90644.12369133672,-22.16
853460.6069165762,-524460.6069165762,-159.41
540061.2336851845,-241561.2336851845,-80.93
375615.25333367335,-97615.25333367335,-35.11
1128173.2052162667,120826.79478373332,9.67
314711.2724417604,271188.7275582396,46.29
435661.2661020579,-80661.26610205788,-22.72
1311412.3799416877,-21412.379941687686,-1.66
543046.3847929384,-206046.38479293836,-61.14
668569.8608279768,-148669.86082797684,-28.6
1563855.9413180565,85144.05868194345,5.16
537346.1490328745,-147346.1490328745,-37.78
525487.8839444635,-200487.88394446345,-61.69
1764033.8953491133,-365033.89534911327,-26.09
358950.3482483288,-47960.34824832878,-15.42
1067928.0288253226,432071.97117467737,28.8
1035009.9174842834,259990.08251571655,20.08
250664.45494620455,-50664.454946204554,-25.33
417096.40073854197,-52196.40073854197,-14.3
718744.6652506597,-308744.6652506597,-75.3
420042.8033411114,-115042.8033411114,-37.72
454767.5937897137,-5767.59378971369,-1.28
851512.296253903,348487.70374609705,29.04
251588.31243873946,63411.687561260536,20.13
335190.9620727231,-207264.96207272308,-162.02
654786.1973524145,100213.80264758551,13.27
954544.4281185882,-365544.42811858817,-62.06
925330.1873810531,-430330.1873810531,-86.94
534134.7232137637,-244234.72321376367,-84.25
621434.2027239704,-235444.2027239704,-61.0
823309.070933298,-73309.07093329797,-9.77
653167.5392576335,-138267.5392576335,-26.85
717585.9976095436,-117585.99760954361,-19.6
331998.04788220255,-151998.04788220255,-84.44
746531.0571154985,100468.94288450154,11.86
517251.2022822064,7748.797717793612,1.48
325041.83564275084,-36541.83564275084,-12.67
271378.6311644055,-66978.6311644055,-32.77
832088.398999739,-237088.39899973897,-39.85
525650.2307910481,169349.76920895185,24.37
1005893.5509300235,294106.44906997646,22.62
812943.0998069122,462056.90019308776,36.24
1016934.5569554282,-17034.556955428212,-1.7
625006.096602485,-310006.09660248505,-98.41
