predict_price_nn,difference_nn,percent_change_nn
1349228.6,-24228.625,-1.83
214162.55,-9162.546875,-4.47
231261.14,-16261.140625,-7.56
686819.7,-63819.6875,-10.24
338447.5,81552.5,19.42
1084965.2,315034.75,22.5
548915.4,-306715.375,-126.64
341502.16,53497.84375,13.54
383352.0,-58352.0,-17.95
470345.1,14654.90625,3.02
429574.8,-119674.8125,-38.62
739789.2,-259889.1875,-54.15
699817.2,10182.8125,1.43
691670.56,408329.4375,37.12
629915.44,144084.5625,18.62
779720.6,119279.375,13.27
1017481.1,107518.875,9.56
241625.39,28364.609375,10.51
637309.25,-252409.25,-65.58
252372.86,12627.140625,4.76
592773.5,27126.5,4.38
706330.2,-296330.1875,-72.28
316086.03,3913.96875,1.22
752244.9,842755.125,52.84
631464.0,-36464.0,-6.13
175182.61,33817.390625,16.18
790319.1,-345319.125,-77.6
1510141.4,-295141.375,-24.29
526018.1,83976.875,13.77
298062.75,-58062.75,-24.19
541450.2,-66450.1875,-13.99
3349122.8,400877.25,10.69
627503.06,-52603.0625,-9.15
2198541.2,290458.75,11.67
306911.56,-94411.5625,-44.43
260138.42,-20138.421875,-8.39
230211.6,-55211.59375,-31.55
858311.6,916688.375,51.64
515009.2,-135059.1875,-35.55
947498.75,-397598.75,-72.3
795070.94,-20070.9375,-2.59
414990.66,-15990.65625,-4.01
369017.03,9982.96875,2.63
450686.88,-229686.875,-103.93
620435.9,29564.125,4.55
1116575.0,-434675.0,-63.74
383012.1,6987.90625,1.79
417200.1,-105950.09375,-34.04
550630.0,-75630.0,-15.92
286952.4,-67052.40625,-30.49
1491367.0,448633.0,23.13
319013.94,-144013.9375,-82.29
816116.56,142883.4375,14.9
729889.4,-240889.375,-49.26
804370.5,-39370.5,-5.15
396937.8,-71937.8125,-22.13
520718.8,-100818.8125,-24.01
365746.22,-75846.21875,-26.16
249063.64,-196563.640625,-374.41
2157190.5,-157290.5,-7.86
333817.3,-75817.3125,-29.39
410630.78,2269.21875,0.55
896967.06,-346967.0625,-63.08
1469688.5,-119688.5,-8.87
788350.9,-63350.875,-8.74
661484.9,106515.125,13.87
1242838.1,-377838.125,-43.68
361781.38,-97791.375,-37.04
515373.28,34626.71875,6.3
377062.84,-37162.84375,-10.93
563559.1,-123659.125,-28.11
1094645.4,54354.625,4.73
1263396.2,-168396.25,-15.38
662723.4,-272723.375,-69.93
258015.98,40984.015625,13.71
344843.5,125156.5,26.63
472860.84,-60654.84375,-14.71
465510.4,-40610.40625,-9.56
1289415.1,2205584.875,63.11
1973561.5,1526438.5,43.61
382882.1,-82892.09375,-27.63
534619.9,-149719.875,-38.9
253342.81,-13442.8125,-5.6
220459.72,-30559.71875,-16.09
1755695.0,-355696.0,-25.41
339156.03,35843.96875,9.56
621661.0,28239.0,4.35
1559173.5,1690826.5,52.03
671466.8,177533.1875,20.91
1472087.5,-912187.5,-162.92
404479.06,24420.9375,5.69
