predict_price_nn,difference_nn,percent_change_nn
236793.52,-11793.515625,-5.24
319593.94,-119593.9375,-59.8
448267.3,41732.6875,8.52
646589.94,-51689.9375,-8.69
538988.25,57911.75,9.7
409138.62,-279138.625,-214.72
362921.6,-240921.59375,-197.48
274666.7,-27666.6875,-11.2
402013.72,22986.28125,5.41
169122.1,-122.09375,-0.07
726701.2,-1701.1875,-0.23
638837.4,-38838.375,-6.47
804329.9,-119329.875,-17.42
244857.58,34142.421875,12.24
271684.44,-91784.4375,-51.02
1515513.1,-140513.125,-10.22
258672.58,-28672.578125,-12.47
918626.25,-63626.25,-7.44
214486.38,-34586.375,-19.23
894022.75,104977.25,10.51
1207229.4,-492329.375,-68.87
375589.88,224160.125,37.38
589138.94,-74138.9375,-14.4
368611.28,90888.71875,19.78
253723.67,-61723.671875,-32.15
262576.3,-67576.3125,-34.65
237063.27,102436.734375,30.17
4249886.5,-1499886.5,-54.54
1371369.0,3531.0,0.26
307411.2,-69411.1875,-29.16
1199397.1,50602.875,4.05
685892.75,89106.25,11.5
684702.9,-35702.875,-5.5
169693.34,-90693.34375,-114.8
526620.6,73279.375,12.22
2231001.5,418998.5,15.81
392356.66,46643.34375,10.62
217123.3,-7325.296875,-3.49
1225682.6,-85682.625,-7.52
698269.25,51730.75,6.9
266475.66,23524.34375,8.11
236484.75,-86484.75,-57.66
476641.72,-1641.71875,-0.35
971715.06,-361715.0625,-59.3
524682.94,-49682.9375,-10.46
2192796.8,1307203.25,37.35
445601.2,93398.8125,17.33
200239.27,-239.265625,-0.12
758123.5,-208223.5,-37.87
339946.88,69053.125,16.88
618849.94,136150.0625,18.03
385955.16,43944.84375,10.22
545548.7,-130553.6875,-31.46
355015.22,-26015.21875,-7.91
900705.8,64294.1875,6.66
297504.34,-177604.34375,-148.13
661878.56,488121.4375,42.45
767543.56,-42543.5625,-5.87
182267.28,17532.71875,8.78
1615750.5,-140750.5,-9.54
833765.56,-153765.5625,-22.61
337890.84,-8390.84375,-2.55
315329.22,-15429.21875,-5.14
842077.4,-402177.375,-91.42
981024.06,-36024.0625,-3.81
516243.25,-278243.25,-116.91
419443.84,-69453.84375,-19.84
695642.3,29357.6875,4.05
190129.19,14870.8125,7.25
256026.06,-26026.0625,-11.32
560276.0,-70276.0,-14.34
467254.2,-2254.1875,-0.48
716349.6,-40449.625,-5.98
788667.44,1610332.5625,67.13
586929.8,128070.1875,17.91
2037306.5,-537306.5,-35.82
410961.38,164038.625,28.53
361323.84,-151323.84375,-72.06
562710.8,-127710.8125,-29.36
595885.75,-6885.75,-1.17
169214.94,10785.0625,5.99
161152.9,51847.09375,24.34
592987.75,-43487.75,-7.91
472196.38,7803.625,1.63
861781.1,-41781.125,-5.1
315140.3,-125740.3125,-66.39
277378.88,-32378.875,-13.22
355304.4,-22404.40625,-6.73
344494.72,70505.28125,16.99
1522519.1,-87519.125,-6.1
1182317.5,312682.5,20.92
522682.5,-22682.5,-4.54
1487426.4,207573.625,12.25
511503.72,-242503.71875,-90.15
247835.05,47164.953125,15.99
334064.34,-39064.34375,-13.24
528195.1,1248.875,0.24
306198.16,-104198.15625,-51.58
276370.7,-76370.6875,-38.19
375158.38,-50158.375,-15.43
794613.9,1804386.125,69.43
349528.75,50371.25,12.6
471509.97,98490.03125,17.28
220812.58,-20912.578125,-10.46
415155.12,-50155.125,-13.74
237268.12,-8768.125,-3.84
614474.94,-45574.9375,-8.01
220300.81,-20400.8125,-10.21
377159.53,22830.46875,5.71
942497.44,-122597.4375,-14.95
539779.9,-259779.875,-92.78
1829266.4,155733.625,7.85
450917.16,-51017.15625,-12.76
1101167.8,-301168.75,-37.65
739644.3,-94644.3125,-14.67
286576.8,-71676.8125,-33.35
269551.72,-32651.71875,-13.78
434472.5,140527.5,24.44
526943.2,-26948.1875,-5.39
925629.06,-156629.0625,-20.37
289453.28,-40953.28125,-16.48
312096.6,22303.40625,6.67
2681233.8,568766.25,17.5
216991.69,-42091.6875,-24.07
617540.4,81459.625,11.65
280026.38,-126.375,-0.05
809140.7,175859.3125,17.85
175144.98,24755.015625,12.38
1201310.0,33690.0,2.73
670155.06,-45155.0625,-7.22
755847.0,143153.0,15.92
274985.47,-24985.46875,-9.99
715947.94,-320947.9375,-81.25
179819.8,-14919.796875,-9.05
727281.2,272708.8125,27.27
298070.03,-28070.03125,-10.4
1355962.4,-405965.375,-42.73
346066.38,2933.625,0.84
800721.5,-175721.5,-28.12
271900.56,-76900.5625,-39.44
435879.78,-60879.78125,-16.23
874097.7,-749097.6875,-599.28
606183.1,-186283.125,-44.36
196201.97,-8701.96875,-4.64
255454.72,-455.71875,-0.18
682102.1,166897.875,19.66
803654.7,-28654.6875,-3.7
510027.4,-45027.40625,-9.68
512492.06,-253492.0625,-97.87
1034359.0,-34359.0,-3.44
569663.9,-89664.875,-18.68
735555.8,-486555.8125,-195.4
505008.34,-20108.34375,-4.15
1533666.5,965333.5,38.63
729536.4,-79536.375,-12.24
343387.62,-16387.625,-5.01
220355.97,-34355.96875,-18.47
862586.5,-187586.5,-27.79
331330.22,-6330.21875,-1.95
378899.94,-209899.9375,-124.2
228899.05,-43899.046875,-23.73
216036.33,18963.671875,8.07
825348.75,-76348.75,-10.19
1037596.56,-88596.5625,-9.34
400086.0,-86.0,-0.02
293001.28,6898.71875,2.3
616818.5,33081.5,5.09
301016.75,-98016.75,-48.28
598636.1,-35651.125,-6.33
826276.6,868723.375,51.25
248791.97,60208.03125,19.48
1004869.94,168130.0625,14.33
354072.16,-166172.15625,-88.44
1000811.56,399188.4375,28.51
168870.55,31029.453125,15.52
1179804.4,-39804.375,-3.49
308365.28,-8465.28125,-2.82
502820.94,-77820.9375,-18.31
636669.8,122330.1875,16.12
678870.44,-62870.4375,-10.21
232163.44,-7163.4375,-3.18
2182863.2,-632863.25,-40.83
276799.72,-97799.71875,-54.64
271911.56,-22011.5625,-8.81
227857.17,-43857.171875,-23.84
1081703.8,-182703.75,-20.32
578543.2,221356.8125,27.67
1032180.06,-57180.0625,-5.86
355261.28,34638.71875,8.88
868893.9,100606.125,10.38
205524.62,-524.625,-0.26
577800.56,-130350.5625,-29.13
355415.94,-29148.9375,-8.93
358323.6,116676.40625,24.56
413131.6,26868.40625,6.11
192083.8,22916.203125,10.66
534562.2,140437.8125,20.81
611157.94,68842.0625,10.12
382438.97,-12715.96875,-3.44
276901.72,-72001.71875,-35.14
219319.81,-24319.8125,-12.47
1242317.5,-392317.5,-46.16
379332.78,-14333.78125,-3.93
938539.25,-89539.25,-10.55
260644.1,14355.90625,5.22
604197.8,-65197.8125,-12.1
768405.44,-113405.4375,-17.31
3102141.2,-507141.25,-19.54
468211.25,-37211.25,-8.63
205970.05,9029.953125,4.2
651302.94,-214402.9375,-49.07
